1;;;A
;Я бываю грустным только иногда;0;
;Я часто бываю грустный;1;
;Мне всегда грустно;2;
2;;;E
;У меня никогда ничего не получается;2;
;Я редко бываю уверен, что у меня что-нибудь получится;1;
;У меня все получается хорошо;0;
3;;;C
;Я практически все делаю хорошо;0;
;Я много делю не так;1;
;Я все делаю неправильно;2;
4;;;D
;Многое приносит мне удовольствие;0;
;Кое-что доставляет мне радость;1;
;Меня ничего не радует;2;
5;;;B
;Я плохой всегда;2;
;Я часто бываю плохим;1;
;Я редко бываю плохим;0;
6;;;A
;Я редко думаю о том, что со мной может случится плохое;0;
;Я беспокоюсь о том, что со мной может случиться что-то плохое.;1;
;Я уверен, что со мной произойдет что-нибудь ужасное;2;
7;;;E
;Я ненавижу себя;2;
;Я не люблю себя;1;
;Я себе нравлюсь;0;
8;;;A
;Все плохое происходит в результате моих ошибок;2;
;Многое плохое происходит в результате моих ошибок;1;
;Плохое, как правило, происходит не по моей вине;0;
9;;;E
;Я не думаю о том, чтобы покончить с собой;0;
;Я думаю о самоубийстве, но я не совершу его;1;
;Я хочу убить себя;2;
10;;;A
;Я плачу каждый день;2;
;Я часто плачу;1;
;Я плачу редко;0;
11;;;A
;Я все время испытываю беспокойство;2;
;Я часто испытываю беспокойство;1;
;Я редко испытываю беспокойство;0;
12;;;B
;Мне нравится быть с людьми;0;
;Мне не нравится быть с людьми;1;
;Мне совсем не хочется быть с людьми;2;
13;;;A
;Я не могу решиться на многое;2;
;Мне трудно на многое решиться;1;
;Я легко принимаю решения;0;
14;;;E
;Я выгляжу хорошо;0;
;Кое-что в моем облике меня не устраивает;1;
;Я выгляжу уродливо;2;
15;;;C
;Мне все время приходится заставлять себя выполнять школьные задания;2;
;Мне часто приходится себя заставлять выполнять школьные задания;1;
;Выполнение школьных заданий для меня не большая проблема;0;
16;;;D
;Я плохо сплю каждую ночь;2;
;Я часто сплю плохо;1;
;Я сплю очень хорошо;0;
17;;;D
;Я редко устаю;0;
;Я часто устаю;1;
;Я все время чувствую себя усталым;2;
18;;;D
;В большинстве случаев не хочу есть;2;
;Я часто не хочу есть;1;
;Я ем очень хорошо;0;
19;;;D
;Меня не беспокоят боли;0;
;Меня часто беспокоят боли;1;
;Меня все время беспокоят боли;2;
20;;;D
;Я не чувствую себя одиноким;0;
;Я часто чувствую себя одиноким;1;
;Я всегда чувствую себя одиноким;2;
21;;;D
;Школа никогда не приносит мне удовольствие;2;
;Иногда школа мне приносит удовольствие;1;
;Школа часто радует меня;0;
22;;;D
;У меня много друзей;0;
;У меня есть друзья, но мне хотелось бы иметь их больше;1;
;У меня нет друзей;2;
23;;;B
;С моей учебой все в порядке;0;
;Я учусь не так хорошо, как прежде;1;
;Сейчас у меня плохие отметки по тем предметам, которые раньше шли хорошо.;2;
24;;;C
;Я никогда не стану таким хорошим, как другие ребята;2;
;Если захочу я смогу стать таким хорошим, как другие;1;
;Я такой же хороший как другие ребята;0;
25;;;E
;Меня никто по настоящему не любит;2;
;Я не уверен в том, что меня кто-нибудь любит;1;
;Я уверен в том, что меня любят;0;
26;;;B
;Обычно я делаю то, что мне сказали;0;
;Как правило, я не делаю того, что мне говорят;1;
;Я никогда не делаю того, что меня просят сделать;2;
27;;;B
;Я чувствую себя одиноким с людьми;2;
;Я часто радуюсь;1;
;Я все время радуюсь;0;
