t-index;total_m_7_12;total_f_7_12;total_m_13_17;total_f_13_17;scale_a_m_7_12;scale_a_f_7_12;scale_a_m_13_17;scale_a_f_13_17;scale_b_m_7_12;scale_b_f_7_12;scale_b_m_13_17;scale_b_f_13_17;scale_c_m_7_12;scale_c_f_7_12;scale_c_m_13_17;scale_c_f_13_17;scale_d_m_7_12;scale_d_f_7_12;scale_d_m_13_17;scale_d_f_13_17;scale_e_m_7_12;scale_e_f_7_12;scale_e_m_13_17;scale_e_f_13_17
100;48;;53;41;12;;;12;;5;;6;;;;;;16;;;;;;10
99;47;44;52;;;12;;;8;;;;;;;;16;;;;;;;
98;46;43;51;40;;;;;;;;;;;;;;;;;;;;
97;;;50;39;;;;11;;;;;;;;;;15;;16;;;;
96;45;42;;;11;;;;;;;;;;;;;;;;;;;
95;44;41;49;38;;;;;;;8;5;;;;8;;;;;;10;;9
94;43;40;48;;;11;12;;;;;;;;;;15;;16;;10;;;
93;;;47;37;;;;;;;;;;;;;;;;15;;;;
92;42;39;46;36;;;;10;7;;;;;;;;;14;;;;;;
91;41;38;45;;10;;;;;;;;;;;;;;;;;;10;
90;40;;;35;;;;;;;;;;;;;14;;15;;;9;;
89;;37;44;34;;10;11;;;4;7;;;;;;;;;14;;;;8
88;39;36;43;;;;;;;;;;;;;7;;13;;;9;;;
87;38;35;42;33;;;;;;;;;;8;;;;;14;;;;;
86;37;;41;32;;;;9;;;;;;;;;13;;;;;;9;
85;;34;40;;9;;10;;6;;;;;;;;;;;13;;;;
84;36;33;;31;;9;;;;;;4;;;;;;12;;;;8;;
83;35;;39;;;;;;;;;;;;;;12;;13;;8;;;7
82;;32;38;30;;;;;;;6;;;;;;;;;12;;;;
81;34;31;37;29;;;;8;;;;;;7;;6;;11;;;;;8;
80;33;;36;;8;;9;;;;;;8;;8;;;;12;;;;;
79;32;30;35;28;;8;;;;;;;;;;;11;;;;;7;;
78;;29;;27;;;;;5;3;;;;;;;;;;11;7;;;
77;31;28;34;;;;;;;;;;;;;;;10;;;;;;
76;30;;33;26;;;8;;;;;;;;;;;;11;;;;7;6
75;29;27;32;;7;;;7;;;5;;7;6;;;10;;;;;;;
74;;26;31;25;;7;;;;;;3;;;7;5;;;;10;;;;
73;27;;30;24;;;;;;;;;;;;;;9;10;;;6;;
72;28;25;;;;;;;;;;;;;;;;;;;6;;;
71;26;24;29;23;;;7;;4;;;;;;;;9;;;9;;;6;
70;;23;28;22;6;;;6;;;;;6;5;;;;;;;;;;5
69;25;;27;;;6;;;;;4;;;;6;;;8;9;;;;;
68;24;22;26;21;;;;;;;;;;;;;;;;;;5;;
67;23;21;;;;;;;;2;;;;;;;8;;;8;5;;;
66;;;25;20;;;6;;;;;;;;;4;;;8;;;;;
65;22;20;24;19;;;;;;;;;;;;;;7;;;;;5;
64;21;19;23;;5;5;;5;3;;;2;5;4;5;;7;;;;;;;4
63;20;18;22;18;;;;;;;3;;;;;;;;;7;;;;
62;;;21;17;;;5;;;;;;;;;;;;7;;4;4;;
61;19;17;;;;;;;;;;;;;;;;6;;;;;;
60;18;16;20;16;;;;;;;;;;;;;6;;;6;;;4;
59;;;19;;4;4;;4;;;;;4;;;3;;;;;;;;
58;17;15;18;15;;;;;;;;;;3;4;;;5;6;;;;;3
57;16;14;17;14;;;4;;2;;;;;;;;;;;;;3;;
56;15;13;16;;;;;;;1;2;;;;;;5;;;5;3;;;
55;;;;13;;;;;;;;;;;;;;;5;;;;3;
54;14;12;15;12;3;3;;3;;;;1;3;;;;;4;;;;;;
53;13;11;14;;;;3;;;;;;;;3;;;;;;;;;
52;12;;13;11;;;;;;;;;;2;;2;4;;;4;;;;2
51;;10;12;;;;;;;;;;;;;;;;4;;2;2;;
50;11;9;11;10;;2;;;;;1;;;;;;;3;;;;;2;
49;10;8;;9;2;;;;1;;;;2;;;;;;;3;;;;
48;9;;10;;;;2;2;;;;;;;2;;3;;3;;;;;
47;;7;9;8;;;;;;;;;;1;;;;;;;;;;
46;8;6;8;7;;;;;;;;;;;;;;2;;;1;1;;
45;7;;7;;;1;;;;0;;;;;;1;2;;;2;;;1;1
44;6;5;6;6;1;;1;;;;0;;1;;;;;;2;;;;;
43;;4;;;;;;1;;;;0;;;;;;;;;;;;
42;5;3;5;5;;;;;0;;;;;;1;;;1;;;;;;
41;4;;4;4;;;;;;;;;;0;;;1;;1;1;;;;
40;;2;3;;;0;;;;;;;;;;;;;;;0;0;0;
39;3;1;2;3;;;0;;;;;;0;;;;;;;;;;;0
38;2;;;2;0;;;;;;;;;;0;0;;0;;0;;;;
37;1;0;1;;;;;0;;;;;;;;;0;;0;;;;;
36;;;0;1;;;;;;;;;;;;;;;;;;;;
35;0;;;;;;;;;;;;;;;;;;;;;;;
34;;;;0;;;;;;;;;;;;;;;;;;;;
